claim_id,patient_id,provider_id,claim_date,specialty,diagnosis_code,procedure_code,medication_code,amount,status,injected_fraud_type,is_duplicate,is_abnormal_amount,is_specialty_mismatch,is_medication_error,rule_based_fraud,fraud_reasons,name,specialty_provider,location,years_experience,license_number,hospital_affiliation,phone,email,avg_claims_per_month,fraud_risk_score,is_high_risk
CLAIM00043,PAT01138,PROV0036,2025-08-13 15:20:12.348144,gastroenterology,D018,P005,M016,11875.62,submitted,mismatch_specialty_procedure,False,False,True,False,True,Specialty-Procedure Mismatch,Daniel Holt,general_medicine,San Francisco,14,LIC62565,Beck-Wood Medical Center,+1-685-668-5574,daniel.holt@beck-woodmedicalcenterhospital.com,20,0.152,False
CLAIM00044,PAT01417,PROV0014,2025-08-14 15:20:12.348144,cardiology,D002,P003,M004,14919.78,rejected,none,False,False,False,False,False,None,Kevin Shaw,orthopedics,San Antonio,32,LIC61856,"Moore, Yu and Miller Medical Center",(219)313-6193,"kevin.shaw@moore,yuandmillermedicalcenterhospital.com",39,0.057,False
CLAIM00045,PAT01128,PROV0072,2025-09-05 15:20:12.348144,neurology,D014,P015,M013,7633.47,approved,none,True,False,False,False,True,Duplicate Billing,Angela Schultz,oncology,San Francisco,5,LIC69692,"Hicks, Bullock and Bailey Medical Center",001-923-912-4329x2127,"angela.schultz@hicks,bullockandbaileymedicalcenterhospital.com",50,0.23,False
CLAIM00046,PAT01478,PROV0065,2025-08-01 15:20:12.348144,oncology,D005,P004,M006,7506.47,rejected,none,False,False,False,False,False,None,Shane Pugh,gastroenterology,Austin,21,LIC96951,Parrish-Griffith Medical Center,794-351-9832x7315,shane.pugh@parrish-griffithmedicalcenterhospital.com,29,0.203,False
CLAIM00047,PAT01484,PROV0088,2025-11-10 15:20:12.348144,neurology,D015,P015,M014,8768.82,submitted,none,True,False,False,False,True,Duplicate Billing,Andrew Berg,general_medicine,Dallas,6,LIC71644,Mendez-Graham Medical Center,+1-301-565-8202x9702,andrew.berg@mendez-grahammedicalcenterhospital.com,119,0.618,True
CLAIM00048,PAT00740,PROV0053,2025-07-28 15:20:12.348144,neurology,D014,P013,M013,4774.31,submitted,none,False,False,False,False,False,None,Kenneth Andrews,gastroenterology,Phoenix,35,LIC14722,"Phillips, Spence and Barrett Medical Center",609-409-7439x533,"kenneth.andrews@phillips,spenceandbarrettmedicalcenterhospital.com",47,0.221,False
CLAIM00049,PAT01429,PROV0026,2025-07-15 15:20:12.348144,oncology,D006,P005,M006,26863.6,rejected,none,False,False,False,False,False,None,Mary Travis,neurology,San Antonio,20,LIC62296,"Stewart, Fischer and Ramos Medical Center",001-586-687-2774x3487,"mary.travis@stewart,fischerandramosmedicalcenterhospital.com",33,0.175,False
CLAIM00050,PAT00981,PROV0065,2025-10-03 15:20:12.348144,oncology,D005,P002,M006,7603.97,approved,mismatch_specialty_procedure,False,False,True,False,True,Specialty-Procedure Mismatch,Shane Pugh,gastroenterology,Austin,21,LIC96951,Parrish-Griffith Medical Center,794-351-9832x7315,shane.pugh@parrish-griffithmedicalcenterhospital.com,29,0.203,False
CLAIM00051,PAT01008,PROV0085,2025-07-01 15:20:12.348144,neurology,D015,P015,M014,7442.76,rejected,none,False,False,False,False,False,None,Nancy Cook,general_medicine,Phoenix,35,LIC13534,Bell LLC Medical Center,+1-227-772-2170x4303,nancy.cook@bellllcmedicalcenterhospital.com,47,0.226,False
CLAIM00052,PAT00175,PROV0090,2025-08-15 15:20:12.348144,cardiology,D001,P003,M002,15318.95,rejected,none,False,False,False,False,False,None,Kathryn Hughes,oncology,New York,10,LIC41266,"Wilson, Hampton and Padilla Medical Center",494.973.1217,"kathryn.hughes@wilson,hamptonandpadillamedicalcenterhospital.com",17,0.226,False
CLAIM00053,PAT01071,PROV0053,2025-09-18 15:20:12.348144,neurology,D014,P014,M013,3216.1,approved,none,False,False,False,False,False,None,Kenneth Andrews,gastroenterology,Phoenix,35,LIC14722,"Phillips, Spence and Barrett Medical Center",609-409-7439x533,"kenneth.andrews@phillips,spenceandbarrettmedicalcenterhospital.com",47,0.221,False
CLAIM00054,PAT01272,PROV0007,2025-06-28 15:20:12.348144,oncology,D006,P006,M006,21790.36,submitted,none,False,False,False,False,False,None,Jeffrey Chavez,neurology,Houston,25,LIC20328,"Liu, Baker and Mason Medical Center",(481)248-9325,"jeffrey.chavez@liu,bakerandmasonmedicalcenterhospital.com",50,0.247,False
CLAIM00055,PAT00542,PROV0088,2025-11-29 15:20:12.348144,neurology,D013,P013,M012,4673.81,submitted,none,True,False,False,False,True,Duplicate Billing,Andrew Berg,general_medicine,Dallas,6,LIC71644,Mendez-Graham Medical Center,+1-301-565-8202x9702,andrew.berg@mendez-grahammedicalcenterhospital.com,119,0.618,True
CLAIM00056,PAT00837,PROV0020,2025-10-06 15:20:12.348144,general_medicine,D012,P012,M011,1916.5,submitted,none,True,False,False,False,True,Duplicate Billing,Sharon Cochran,general_medicine,New York,17,LIC75612,Moore-Haynes Medical Center,(707)633-7543x3036,sharon.cochran@moore-haynesmedicalcenterhospital.com,42,0.365,False
CLAIM00057,PAT00580,PROV0090,2025-12-09 15:20:12.348144,cardiology,D002,P001,M003,3254.35,rejected,none,False,False,False,False,False,None,Kathryn Hughes,oncology,New York,10,LIC41266,"Wilson, Hampton and Padilla Medical Center",494.973.1217,"kathryn.hughes@wilson,hamptonandpadillamedicalcenterhospital.com",17,0.226,False
CLAIM00058,PAT00406,PROV0023,2025-09-29 15:20:12.348144,oncology,D004,P006,M006,20590.54,approved,none,False,False,False,False,False,None,Erika Terry,orthopedics,San Jose,16,LIC17592,"Martinez, Fisher and Bentley Medical Center",+1-729-994-6804x43699,"erika.terry@martinez,fisherandbentleymedicalcenterhospital.com",46,0.379,False
CLAIM00059,PAT00147,PROV0071,2025-06-28 15:20:12.348144,general_medicine,D010,P011,M010,987.83,approved,none,False,False,False,False,False,None,Lisa Collier,cardiology,San Diego,20,LIC39444,Davis-Richard Medical Center,569.768.1645,lisa.collier@davis-richardmedicalcenterhospital.com,19,0.01,False
CLAIM00060,PAT00103,PROV0012,2025-08-18 15:20:12.348144,cardiology,D002,P002,M003,4954.7,submitted,duplicate_billing,True,False,False,False,True,Duplicate Billing,Joel Baxter,gastroenterology,Seattle,15,LIC99733,Ramos PLC Medical Center,908-501-3267,joel.baxter@ramosplcmedicalcenterhospital.com,13,0.092,False
CLAIM00061,PAT00661,PROV0049,2025-11-14 15:20:12.348144,neurology,D014,P013,M013,4728.92,rejected,none,False,False,False,False,False,None,Andrew Shaw MD,orthopedics,Boston,14,LIC54942,Sawyer Group Medical Center,687-702-6217,andrew.shaw.md@sawyergroupmedicalcenterhospital.com,50,0.341,False
CLAIM00062,PAT01179,PROV0030,2025-11-10 15:20:12.348144,oncology,D004,P006,M006,20304.99,submitted,none,False,False,False,False,False,None,David Murphy,oncology,Seattle,9,LIC84847,Murphy-Juarez Medical Center,(246)541-7080x5310,david.murphy@murphy-juarezmedicalcenterhospital.com,25,0.314,False
CLAIM00063,PAT01335,PROV0040,2025-10-04 15:20:12.348144,orthopedics,D008,P007,M008,2053.91,approved,none,False,False,False,False,False,None,Jeremy Dalton,neurology,Philadelphia,4,LIC76562,Torres-Oliver Medical Center,+1-213-834-1232x812,jeremy.dalton@torres-olivermedicalcenterhospital.com,73,0.624,True
CLAIM00064,PAT00963,PROV0013,2025-09-10 15:20:12.348144,neurology,D014,P014,M013,3102.08,submitted,none,False,False,False,False,False,None,Stephanie Martin,cardiology,Austin,26,LIC45093,Galloway LLC Medical Center,246.787.2343x098,stephanie.martin@gallowayllcmedicalcenterhospital.com,122,0.907,True
CLAIM00065,PAT00431,PROV0010,2025-10-01 15:20:12.348144,orthopedics,D009,P009,M009,44684.89,submitted,duplicate_billing,True,False,False,False,True,Duplicate Billing,Michael Brown,oncology,Jacksonville,23,LIC37460,Whitehead LLC Medical Center,983-547-3829,michael.brown@whiteheadllcmedicalcenterhospital.com,14,0.244,False
CLAIM00066,PAT00645,PROV0075,2025-08-16 15:20:12.348144,neurology,D014,P013,M013,5364.91,submitted,none,True,False,False,False,True,Duplicate Billing,Steven Cooper,neurology,San Diego,8,LIC69829,"Miller, Lucas and Williams Medical Center",001-777-288-9255x466,"steven.cooper@miller,lucasandwilliamsmedicalcenterhospital.com",39,0.267,False
CLAIM00067,PAT01112,PROV0015,2025-10-09 15:20:12.348144,cardiology,D002,P001,M003,3011.06,rejected,none,False,False,False,False,False,None,Kevin Mills,oncology,San Diego,35,LIC44438,Harris-Moran Medical Center,946.324.7510,kevin.mills@harris-moranmedicalcenterhospital.com,37,0.359,False
CLAIM00068,PAT01281,PROV0046,2025-10-04 15:20:12.348144,gastroenterology,D016,P016,M015,8078.75,approved,none,False,False,False,False,False,None,Adam Russell,cardiology,San Diego,24,LIC47353,Gay Inc Medical Center,412.874.8467x737,adam.russell@gayincmedicalcenterhospital.com,44,0.281,False
CLAIM00069,PAT01431,PROV0075,2025-10-15 15:20:12.348144,neurology,D013,P013,M012,5209.78,approved,none,False,False,False,False,False,None,Steven Cooper,neurology,San Diego,8,LIC69829,"Miller, Lucas and Williams Medical Center",001-777-288-9255x466,"steven.cooper@miller,lucasandwilliamsmedicalcenterhospital.com",39,0.267,False
CLAIM00070,PAT01132,PROV0067,2025-09-25 15:20:12.348144,gastroenterology,D016,P016,M015,7938.32,submitted,none,False,False,False,False,False,None,Patrick Bonilla,general_medicine,Fort Worth,12,LIC90676,Reese and Sons Medical Center,(467)252-5459x9102,patrick.bonilla@reeseandsonsmedicalcenterhospital.com,35,0.219,False
CLAIM00071,PAT00316,PROV0039,2025-10-18 15:20:12.348144,orthopedics,D009,P008,M009,7864.78,approved,none,False,False,False,False,False,None,Vincent King,neurology,Los Angeles,21,LIC17492,Wilson-Jones Medical Center,519.802.2941x3186,vincent.king@wilson-jonesmedicalcenterhospital.com,111,0.776,True
CLAIM00072,PAT00500,PROV0016,2025-10-07 15:20:12.348144,orthopedics,D009,P007,M009,1876.24,rejected,none,False,False,False,False,False,None,Daniel Baker,general_medicine,Jacksonville,15,LIC28131,Ibarra-Suarez Medical Center,(442)678-4980x841,daniel.baker@ibarra-suarezmedicalcenterhospital.com,15,0.302,False
CLAIM00073,PAT00280,PROV0043,2025-06-30 15:20:12.348144,oncology,D005,P005,M006,27171.24,rejected,none,True,False,False,False,True,Duplicate Billing,Darryl Craig,orthopedics,San Antonio,21,LIC41285,"Matthews, Smith and Hubbard Medical Center",390-927-8742x967,"darryl.craig@matthews,smithandhubbardmedicalcenterhospital.com",18,0.269,False
CLAIM00074,PAT00006,PROV0021,2025-08-24 15:20:12.348144,orthopedics,D009,P008,M009,8584.42,approved,none,False,False,False,False,False,None,Tracy Ramirez,gastroenterology,San Jose,33,LIC89818,"Hicks, Frazier and Anthony Medical Center",301-842-9401x96556,"tracy.ramirez@hicks,frazierandanthonymedicalcenterhospital.com",33,0.305,False
CLAIM00075,PAT00707,PROV0100,2025-09-06 15:20:12.348144,general_medicine,D012,P012,M011,1982.14,approved,none,False,False,False,False,False,None,Chad Cook,gastroenterology,Fort Worth,22,LIC13761,Stone-Hernandez Medical Center,925.695.2694x95888,chad.cook@stone-hernandezmedicalcenterhospital.com,30,0.073,False
CLAIM00076,PAT01429,PROV0008,2025-08-13 15:20:12.348144,oncology,D006,P005,M006,112235.26,approved,abnormal_amount,False,True,False,False,True,Abnormal Amount,Katherine Rodriguez,orthopedics,Denver,13,LIC19116,Koch-Decker Medical Center,430-639-1171x8227,katherine.rodriguez@koch-deckermedicalcenterhospital.com,79,0.871,True
CLAIM00077,PAT01445,PROV0075,2025-09-18 15:20:12.348144,neurology,D014,P015,M010,7992.53,submitted,wrong_medication,False,False,False,True,True,Medication Error,Steven Cooper,neurology,San Diego,8,LIC69829,"Miller, Lucas and Williams Medical Center",001-777-288-9255x466,"steven.cooper@miller,lucasandwilliamsmedicalcenterhospital.com",39,0.267,False
CLAIM00078,PAT00902,PROV0044,2025-07-08 15:20:12.348144,oncology,D006,P005,M006,26112.22,approved,none,False,False,False,False,False,None,Gary Santiago,orthopedics,Charlotte,21,LIC19508,Rivera Ltd Medical Center,246.980.7154x5168,gary.santiago@riveraltdmedicalcenterhospital.com,129,0.949,True
CLAIM00079,PAT00317,PROV0067,2025-07-02 15:20:12.348144,gastroenterology,D017,P017,M015,12295.82,approved,none,True,False,False,False,True,Duplicate Billing,Patrick Bonilla,general_medicine,Fort Worth,12,LIC90676,Reese and Sons Medical Center,(467)252-5459x9102,patrick.bonilla@reeseandsonsmedicalcenterhospital.com,35,0.219,False
CLAIM00080,PAT00673,PROV0049,2025-12-02 15:20:12.348144,neurology,D015,P014,M014,3076.08,approved,none,False,False,False,False,False,None,Andrew Shaw MD,orthopedics,Boston,14,LIC54942,Sawyer Group Medical Center,687-702-6217,andrew.shaw.md@sawyergroupmedicalcenterhospital.com,50,0.341,False
CLAIM00081,PAT00074,PROV0008,2025-11-18 15:20:12.348144,oncology,D004,P003,M006,8795.88,rejected,mismatch_specialty_procedure,True,False,True,False,True,Duplicate Billing; Specialty-Procedure Mismatch,Katherine Rodriguez,orthopedics,Denver,13,LIC19116,Koch-Decker Medical Center,430-639-1171x8227,katherine.rodriguez@koch-deckermedicalcenterhospital.com,79,0.871,True
CLAIM00082,PAT01442,PROV0034,2025-07-08 15:20:12.348144,orthopedics,D008,P007,M008,2161.37,submitted,none,False,False,False,False,False,None,Nicholas Adams,orthopedics,Charlotte,16,LIC19880,Rivas Inc Medical Center,973-579-9650x752,nicholas.adams@rivasincmedicalcenterhospital.com,45,0.039,False
